path,n_frames,has_event_gt,wrong_raw,wrong_corr,rule_saved,gt_16dist,raw_fall_missed,raw_fall_as_fallen,raw_fallen_missed,raw_fallen_as_fall,raw_lying_event_fp,raw_other_normal_fp,corr_fall_missed,corr_fall_as_fallen,corr_fallen_missed,corr_fallen_as_fall,corr_lying_event_fp,corr_other_normal_fp
fall/fall_ch_091,80,True,7,7,0,1:62 9:18,3,1,0,0,0,3,3,1,0,0,0,3
fallen/fallen_ch_030,80,True,7,7,0,1:25 2:55,0,0,0,7,0,0,0,0,0,7,0,0
fallen/fallen_ch_046,80,True,7,7,0,1:50 2:30,0,0,0,7,0,0,0,0,0,7,0,0
fallen/fallen_mi_026,80,True,7,7,0,1:12 2:68,0,0,0,7,0,0,0,0,0,7,0,0
fallen/fallen_mi_191,80,True,7,7,0,1:21 2:59,0,0,0,7,0,0,0,0,0,7,0,0
fallen/fallen_te_059,80,True,7,7,0,1:22 2:58,0,1,0,6,0,0,0,1,0,6,0,0
fallen/fallen_to_104,80,True,7,7,0,1:22 2:48 7:10,0,3,4,0,0,0,0,3,4,0,0,0
lie_down/lie_down_yo_196,80,False,7,7,0,3:13 4:6 5:27 6:34,0,0,0,0,6,1,0,0,0,0,6,1
lying/lying_te_198,80,False,80,7,73,6:80,0,0,0,0,80,0,0,0,0,0,7,0
other/other_ch_092,80,False,7,7,0,9:80,0,0,0,0,0,7,0,0,0,0,0,7
sit_down/sit_down_ch_150,80,False,7,7,0,3:67 4:13,0,0,0,0,0,7,0,0,0,0,0,7
stand_up/stand_up_to_117,80,False,20,7,13,0:16 7:64,0,0,0,0,0,20,0,0,0,0,0,7
