== launch Mon Sep  7 21:50:14 CST 2026 E1@6000 ep4 ==
PID=210342
WATCHDOG: pid 210342 exited rc=127 at Mon Sep  7 21:50:14 CST 2026
[1] 加载 facebook/dinov2-giant(fp16) + LoRA(r=16) + Phase6 bridge 头
/root/miniconda3/lib/python3.10/site-packages/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: '/root/miniconda3/lib/python3.10/site-packages/torchvision/image.so: undefined symbol: _ZN3c1017RegisterOperatorsD1Ev'If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
Loading weights:   0%|          | 0/727 [00:00<?, ?it/s]Loading weights:  65%|██████▍   | 469/727 [00:00<00:00, 4666.05it/s]Loading weights: 100%|██████████| 727/727 [00:00<00:00, 4144.50it/s]
/root/miniconda3/lib/python3.10/site-packages/torch/nn/modules/transformer.py:379: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  warnings.warn(
  梯度 checkpointing: True
  可训练参数: 10.82M (LoRA + 时序头；主干冻结 fp16)
[2] mp4 现解码数据集: data/e1_6000_manifest.csv (window=64, stride=16, workers=16)
  训练视频: 6000 | 窗口: 12000 | 类权重 fall/fallen/normal: [1.342, 1.526, 0.133]
step 8100 | loss 0.4520 | fall/fallen/normal acc 0.509/0.766/0.958 | lr 1.00e-04
step 8150 | loss 0.3111 | fall/fallen/normal acc 0.737/0.843/0.975 | lr 1.00e-04
step 8200 | loss 0.3568 | fall/fallen/normal acc 0.837/0.868/0.932 | lr 1.00e-04
step 8250 | loss 0.3801 | fall/fallen/normal acc 0.829/0.739/0.960 | lr 1.00e-04
step 8300 | loss 0.0773 | fall/fallen/normal acc 0.776/0.963/0.988 | lr 1.00e-04
step 8350 | loss 0.1249 | fall/fallen/normal acc 0.877/0.849/0.975 | lr 1.00e-04
step 8400 | loss 0.1743 | fall/fallen/normal acc 0.846/0.897/0.968 | lr 1.00e-04
[VAL] step 8400 | f1 0.8023 | fallen prec 0.9170 rec 0.7255 | train_loss 0.2208
step 8450 | loss 0.2914 | fall/fallen/normal acc 0.885/0.751/0.940 | lr 1.00e-04
step 8500 | loss 0.1411 | fall/fallen/normal acc 0.908/0.835/0.974 | lr 1.00e-04
step 8550 | loss 0.1827 | fall/fallen/normal acc 0.822/0.890/0.985 | lr 1.00e-04
step 8600 | loss 0.1464 | fall/fallen/normal acc 0.910/0.852/0.967 | lr 1.00e-04
step 8650 | loss 0.5579 | fall/fallen/normal acc 0.798/0.759/0.979 | lr 1.00e-04
step 8700 | loss 0.3211 | fall/fallen/normal acc 0.625/0.915/0.966 | lr 1.00e-04
step 8750 | loss 0.4003 | fall/fallen/normal acc 0.901/0.812/0.951 | lr 1.00e-04
step 8800 | loss 0.1657 | fall/fallen/normal acc 0.842/0.833/0.973 | lr 1.00e-04
step 8850 | loss 0.1792 | fall/fallen/normal acc 0.932/0.816/0.971 | lr 1.00e-04
step 8900 | loss 0.2197 | fall/fallen/normal acc 0.852/0.958/0.987 | lr 1.00e-04
step 8950 | loss 0.3356 | fall/fallen/normal acc 0.863/0.727/0.955 | lr 1.00e-04
